feature,mean_importance
roof_shape,-0.03251577447588032
hazards_present,-0.003142780232098313
Unnamed0,0.0
roof_cover,0.0
roof_substrate_type,0.0
roof_system,0.0
wall_cladding,0.0
wall_substrate,0.0
wall_structure,0.0
foundation_type,0.0
mwfrs,0.0
year_built,0.0
understory_pct_of_building_footprint,0.0
number_of_stories,0.0
building_type,0.0
rainwater_ingress_damage_rating,0.0
longitude,0.0
Buildinglat,0.0
Buildinglong,0.0
mindist,0.0
wind_damage_rating,1.6968704134713462
surge_damage_rating,1.6999174987294072
