,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
0,29.68053169,-85.24957884,"Wind,Surge",2,2,,General Area,,,,,,,,,,,,,2,-85.24957884,42.95694327728594
1,29.683928,-85.321265,Wind,2,0,,Single Family,2.0,,1990.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Wood Piers <= 8 ft,Wood frame,,Fiber-Cement Board,"""Wood, unknown""",,Asphalt shingles (3-tab),2,-85.321265,39.14586112125222
2,29.68526966,-85.27171746,Wind,2,0,,Single Family,,,0.0,,,,,,,,,,2,-85.27171746,41.34648802179908
3,29.685338,-85.289499,"Surge,Wind",2,0,,General Area,,,1989.0,,,,,,,,,,2,-85.289499,40.4526787675963
4,29.790469,-85.296344,Wind,2,0,,Retail,1.0,0.0,1943.0,Flat,"""Roof Diaphragm, concrete"",""Wall Diaphragm, masonry""",Slab-on-grade,Masonry (unknown),Not Applicable,Stucco,Concrete slab,Unknown,Unknown,2,-85.296344,30.467327926314297
5,29.80048077,-85.2978586,"Wind,Surge",0,2,,Single Family,1.0,0.0,1900.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Brick,"""Wood, unknown""",,"""Metal, standing seam""",2,-85.2978586,29.52749059069429
6,29.80067482,-85.29722191,"Tree,Wind,Surge",1,0,,Single Family,1.0,0.0,1977.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, concrete""",Slab-on-grade,Masonry (unknown),,Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),2,-85.29722191,29.551827759556414
7,29.80082349,-85.29793639,"Wind,Surge",1,0,,Single Family,1.0,0.0,1950.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown),Wood Shake/Shingle","""Wood, unknown""",Plywood/OSB,Asphalt shingles (3-tab),1,-85.29793639,29.493893641353456
8,29.80106381,-85.29737949,"Tree,Wind",1,0,,Single Family,1.0,0.0,1988.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Vinyl Siding (unknown),"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),2,-85.29737949,29.50932015167493
9,29.80107079,-85.29718302,"Wind,Surge",0,0,,Single Family,1.0,0.0,1963.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Vinyl Siding (unknown),"""Wood, unknown""",,"""Metal, standing seam""",1,-85.29718302,29.521276413471604
10,29.8011124,-85.29700398,"Tree,Wind",1,0,0.0,Single Family,1.0,0.0,1900.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",1,-85.29700398,29.529240487160397
11,29.801267,-85.298081,Wind,1,0,0.0,Single Family,1.0,0.0,1940.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),1,-85.298081,29.44763552505303
12,29.80145541,-85.29744152,"Tree,Wind",2,0,-1.0,Single Family,1.0,0.0,1900.0,"Gable,Hip","""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.29744152,29.47270601250971
13,29.80156102,-85.29707272,Wind,2,0,,Single Family,1.0,0.0,1997.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Stucco,"""Wood, trusses""",Unknown,Asphalt shingles (3-tab),2,-85.29707272,29.48747416318608
14,29.801596,-85.29757,Wind,2,0,,Single Family,1.0,0.0,1900.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Wood Boards","""Wood, unknown""",Plywood/OSB,Asphalt shingles (3-tab),2,-85.29757,29.45278207145786
15,29.801728,-85.298426,"Tree,Wind",4,0,,Single Family,2.0,0.0,1900.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, masonry""",Slab-on-grade,Masonry (unknown),Unknown,concrete blocks,"""Wood, unknown""",Plywood/OSB,Asphalt shingles (3-tab),4,-85.298426,29.387159209918323
16,29.802283,-85.299999,Rain,2,0,,Single Family,,,1959.0,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,,Brick,"""Wood, unknown""",,"""Metal, standing seam""",2,-85.299999,29.240662399546142
17,29.804417,-85.300799,"Surge,Tree,Wind",1,4,,Single Family,1.0,0.0,1959.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, masonry""",Slab-on-grade,Masonry (unknown),Not Applicable,Stucco,"""Wood, unknown""",Plywood/OSB,Asphalt shingles (laminated),3,-85.300799,29.011440163269263
18,29.80457653,-85.29871892,Wind,0,0,,Single Family,1.0,0.0,1950.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unreinforced masonry stem wall,Wood frame,Unknown,Vinyl Siding (unknown),"""Wood, unknown""",,Asphalt shingles (laminated),0,-85.29871892,29.13128770830999
19,29.80458235,-85.29849328,Wind,2,0,,Single Family,2.0,0.0,1950.0,Hip,"""Wall Diaphragm, concrete""",Slab-on-grade,Masonry (unknown),Not Applicable,Wood Boards,,Dimensional lumber,Asphalt shingles (3-tab),2,-85.29849328,29.145295172194466
20,29.80477407,-85.2982026,Wind,0,0,0.0,Single Family,1.0,0.0,1960.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Vinyl Siding (unknown),concrete blocks","""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),0,-85.2982026,29.148083105357188
21,29.8049847,-85.29893786,Wind,1,0,0.0,Single Family,1.0,0.0,1900.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",1,-85.29893786,29.08335381646858
22,29.80504492,-85.29869445,Wind,1,0,-1.0,Single Family,1.0,0.0,1900.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),1,-85.29869445,29.094000801504876
23,29.805123,-85.298462,Wind,0,0,,Single Family,1.0,0.0,2018.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unreinforced masonry stem wall,Wood frame,"""Wood, sheathing (continuous)""",,"""Wood, unknown""",Unknown,"""Metal, standing seam""",0,-85.298462,29.10247924573768
24,29.80519533,-85.29824987,Wind,0,0,0.0,Single Family,1.0,0.0,1939.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, unknown""",Plywood/OSB,"""Metal, standing seam""",0,-85.29824987,29.110142609628188
25,29.81341918,-85.30637931,"Surge,Wind",2,2,,Single Family,2.0,,2000.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Wood Piers <= 8 ft,Unknown,Unknown,Wood Boards,"""Wood, unknown""",Unknown,Asphalt shingles (laminated),2,-85.30637931,27.90569280515532
26,29.81349394,-85.30617245,"Surge,Wind",2,2,,Government,2.0,0.0,1999.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, unknown""",Unknown,Tile Slate Roof Cover,2,-85.30617245,27.912849830659248
27,29.813581,-85.304666,Wind,2,0,,Religious,1.0,,1900.0,,,,,,,,,,3,-85.304666,28.00307299343602
28,29.813688,-85.306503,Surge,-1,5,,Unknown,1.0,0.0,,Unknown,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unreinforced masonry piers,Wood frame,"""Wood, dimensional planks""",Wood Boards,"""Wood, unknown""",Unknown,Unknown,4,-85.306503,27.875481752698324
29,29.81428,-85.308684,"Surge,Wind",4,3,,Warehouse,1.0,0.0,1999.0,Gable,"""Roof Diaphragm, steel"",""Wall Diaphragm, steel"",Moment Frame",Slab-on-grade,"""Steel, moment resisting frame""",,Corrugated steel panels,"""Steel, joists""",None,"""Metal, standing seam""",4,-85.308684,27.68609614437994
30,29.83652503,-85.31597986,Wind,2,0,,General Area,,,,,,,,,,,,,2,-85.31597986,25.396148942814524
31,29.840754,-85.315528,"Wind,Surge",1,1,-1.0,Single Family,1.0,0.0,2007.0,Hip,,Slab-on-grade,Wood frame,Unknown,Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.315528,25.092290469391845
32,29.844846,-85.323749,Wind,2,0,,General Area,,,1993.0,Flat,"""Roof Diaphragm, steel"",Moment Frame",,"""Steel, cold form""",,Aluminum siding,"""Steel, joists""",,"""Metal, corrugated""",2,-85.323749,24.210748668238967
33,29.859135,-85.339892,Wind,1,0,,General Area,,,0.0,,,,,,,,,,1,-85.339892,21.98628391705041
34,29.859969,-85.340416,None,1,0,,General Area,3.0,,2007.0,,,,,,,,,,1,-85.340416,21.88475513505752
35,29.865861,-85.344528,"Wind,Surge",1,2,-1.0,Single Family,3.0,70.0,2006.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.344528,21.14060817634629
36,29.89041308,-85.35369784,Wind,1,0,-1.0,Single Family,1.0,0.0,2017.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Vinyl Siding (unknown),"""Wood, unknown""",,"""Metal, standing seam""",1,-85.35369784,18.633111369367857
37,29.891406,-85.353807,"Wind,Wind-borne debris",1,0,0.0,Single Family,2.0,60.0,2005.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,Vinyl Siding (unknown),,Unknown,"""Metal, standing seam""",1,-85.353807,18.55305618284768
38,29.89153916,-85.35458263,Wind,0,0,,Single Family,2.0,0.0,2015.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,"""Wood, sheathing (continuous)""",Wood Boards,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",0,-85.35458263,18.486712440753436
39,29.89176443,-85.35436202,Wind,1,0,-1.0,Single Family,2.0,0.0,2016.0,Complex,Unknown,Slab-on-grade,Wood frame,Unknown,Vinyl Siding (unknown),Unknown,,"""Metal, standing seam""",1,-85.35436202,18.486497955345232
40,29.896151,-85.361181,Wind,3,0,-1.0,Multi-Family,2.0,80.0,1995.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Wood Piers <= 8 ft,Wood frame,Insulated foam board,Fiber-Cement Board,"""Wood, rafter""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.361181,17.670115096910816
41,29.90141781,-85.36528783,Wind,3,0,,General Area,,,,,,,,,,,,,3,-85.36528783,16.988634462911342
42,29.9087372,-85.3693308,"Surge,Wind",1,2,,Single Family,1.0,0.0,1988.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, masonry""",,Wood frame,,Stucco,"""Wood, unknown""",,"""Metal, corrugated""",2,-85.3693308,16.169781368709174
43,29.91158263,-85.37423786,"Wind,Surge",3,1,,Single Family,2.0,0.0,1999.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",,Asphalt shingles (laminated),3,-85.37423786,15.603099438525774
44,29.91204762,-85.37437465,Wind,3,0,-1.0,Single Family,2.0,0.0,1982.0,"Gable,Monoslope","""Roof Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.37437465,15.560297653564335
45,29.91218798,-85.37449602,"Surge,Wind",3,5,,Single Family,2.0,50.0,1984.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""","Slab on Grate and Wood Piers, unknown height",Wood frame,"""Wood, dimensional planks""",Vinyl Siding (unknown),"""Wood, rafter""",None,"""Metal, standing seam""",4,-85.37449602,15.54138768921906
46,29.91234404,-85.37328333,Wind,2,0,,Single Family,2.0,0.0,1994.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,"""Metal, corrugated""",2,-85.37328333,15.621612846065092
47,29.912366,-85.374578,"Surge,Wind",2,2,,Single Family,2.0,0.0,1982.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.374578,15.522801592984438
48,29.912449,-85.373874,Wind,3,0,,Single Family,2.0,0.0,1981.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.373874,15.569878234596402
49,29.91250272,-85.37302751,Wind,1,0,,Single Family,2.0,0.0,1996.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",,Asphalt shingles (laminated),1,-85.37302751,15.62988344250624
50,29.912637,-85.374858,"Rain,Surge,Wind",3,1,,Single Family,2.0,0.0,1984.0,Hip,"""Roof Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.374858,15.48287574462784
51,29.9127201,-85.3735093,"Tree,Wind",2,0,,Single Family,1.0,0.0,1987.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Wood Shake/Shingle,"""Wood, unknown""",Unknown,Asphalt shingles (3-tab),1,-85.3735093,15.578503333362246
52,29.91283431,-85.37331451,"Rain,Wind",2,0,,Single Family,1.0,0.0,1999.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, unknown""",Plywood/OSB,Asphalt shingles (laminated),2,-85.37331451,15.585280810486616
53,29.91288429,-85.37508812,"Surge,Wind",2,0,,Single Family,1.0,10.0,1983.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Wood Shake/Shingle,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",1,-85.37508812,15.44835030300845
54,29.912979,-85.372504,Wind-borne debris,2,0,,Single Family,1.0,0.0,1997.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.372504,15.63653595021622
55,29.91298688,-85.37315156,"Tree,Wind",1,0,,Single Family,1.0,0.0,1997.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,Unknown,"Brick,Vinyl Siding (unknown)","""Wood, trusses""",Unknown,Asphalt shingles (laminated),1,-85.37315156,15.587033667194842
56,29.91302408,-85.37449334,"Surge,Wind",3,0,,Single Family,1.0,0.0,1984.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Wood Shake/Shingle,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.37449334,15.483307901143435
57,29.91315572,-85.37470289,Wind,1,0,,Single Family,2.0,35.0,1984.0,Hip,"""Roof Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.37470289,15.458393329505702
58,29.91318973,-85.37554745,"Surge,Wind",2,2,,Single Family,2.0,0.0,1999.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Stucco,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.37554745,15.392568073766752
59,29.91319932,-85.37305232,Wind,3,0,,Single Family,2.0,0.0,1991.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.37305232,15.57987528514782
60,29.91332806,-85.37563596,"Surge,Wind",1,2,,Single Family,1.0,0.0,1988.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.37563596,15.3762750857341
61,29.91343181,-85.37255578,Wind,2,0,,Multi-Family,2.0,0.0,1985.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, unknown""",Unknown,"Asphalt shingles (laminated),""Metal, standing seam""",1,-85.37255578,15.601479997178208
62,29.91366952,-85.37590552,"Wind,Surge",4,2,,Single Family,2.0,60.0,1986.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (standard),"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",4,-85.37590552,15.332231774397831
63,29.91370236,-85.37303053,Wind,1,0,-1.0,Single Family,1.0,0.0,2010.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Cedar,stone","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.37303053,15.546912316824637
64,29.91384709,-85.37302282,Wind,1,0,,Single Family,1.0,0.0,1987.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",1,-85.37302282,15.537562197065707
65,29.91386917,-85.37534997,Wind,3,0,,Single Family,2.0,0.0,1982.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Plywood Siding,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.37534997,15.36013987299634
66,29.913926,-85.372485,"Wind,Tree",0,0,,Multi-Family,1.0,0.0,1986.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, unknown""",Unknown,"""Metal, standing seam""",1,-85.372485,15.572990090828126
67,29.91407202,-85.37300605,Wind,2,0,,Single Family,1.0,0.0,1990.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Fiber-Cement Board","""Wood, unknown""",Plywood/OSB,Asphalt shingles (laminated),2,-85.37300605,15.523416361290822
68,29.91418797,-85.37523396,Wind,3,0,,Single Family,2.0,60.0,1983.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Wood Boards","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.37523396,15.346798718508056
69,29.914214,-85.374457,Wind,0,0,,Single Family,1.0,0.0,2001.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,,Plywood/OSB,Clay tiles,0,-85.374457,15.403700279199718
70,29.91429085,-85.37580561,Wind,1,0,,Single Family,2.0,0.0,1998.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.37580561,15.296568597455147
71,29.91444196,-85.37597492,"Rain,Wind",3,0,,Single Family,2.0,0.0,1981.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Wood Boards","""Wood, trusses""",Plywood/OSB,Asphalt shingles (3-tab),3,-85.37597492,15.273334601806276
72,29.91448439,-85.37303958,Wind,2,0,,Single Family,2.0,0.0,1997.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",2,-85.37303958,15.492665047366872
73,29.914573,-85.377904,Wind,2,0,,Single Family,3.0,0.0,2018.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Cast-in-place concrete piers,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, unknown""",,"""Metal, standing seam""",2,-85.377904,15.119223837155072
74,29.914606,-85.37245,Wind,1,0,,Single Family,1.0,0.0,2018.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, unknown""",Unknown,"""Metal, standing seam""",1,-85.37245,15.52926874796024
75,29.91460935,-85.37606645,Wind,4,0,-1.0,Single Family,2.0,0.0,1992.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Metal deck,"""Metal, standing seam""",2,-85.37606645,15.254837286768144
76,29.91466747,-85.37298527,Wind,1,0,,Single Family,1.0,0.0,1987.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, unknown""",Unknown,"""Metal, standing seam""",1,-85.37298527,15.48430406557918
77,29.914693,-85.376987,Wind,1,0,,Single Family,1.0,0.0,1997.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.376987,15.179707812078131
78,29.914723,-85.378023,Wind,4,0,,Single Family,1.0,100.0,1993.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Wood Piers <= 8 ft,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, trusses""",Plywood/OSB,"""Metal, standing seam""",4,-85.378023,15.099819729394213
79,29.91476628,-85.37585858,Wind,1,0,-1.0,Single Family,1.0,0.0,1986.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.37585858,15.25966494621542
80,29.91487613,-85.37248302,"Tree,Wind",2,0,,Multi-Family,1.0,0.0,1985.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Plywood Siding,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.37248302,15.508387539581229
81,29.91488921,-85.37569027,Wind,2,0,,Single Family,1.0,0.0,1995.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (unknown),"""Wood, unknown""",Plywood/OSB,Asphalt shingles (3-tab),2,-85.37569027,15.263891790160812
82,29.91492844,-85.376679,Wind,3,0,,Single Family,1.0,0.0,1981.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Vinyl Siding (standard),Stone","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.376679,15.18655282193619
83,29.91503451,-85.37552129,Wind,1,0,,Single Family,1.0,0.0,2000.0,Complex,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",EIFS,"""Wood, unknown""",Unknown,Asphalt shingles (laminated),1,-85.37552129,15.266657063720013
84,29.9150502,-85.37245922,Wind,0,0,-1.0,Multi-Family,2.0,0.0,1987.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Fiber-Cement Board,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),0,-85.37245922,15.498390824431231
85,29.91516267,-85.37534896,Wind,1,0,,Single Family,1.0,0.0,2018.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, unknown""",Unknown,"""Metal, standing seam""",1,-85.37534896,15.270888145115723
86,29.915191,-85.376224,Wind,3,0,,Multi-Family,2.0,0.0,1983.0,"Complex,Gable","""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Vinyl Siding (standard),"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.376224,15.202729689848884
87,29.91527164,-85.37511829,Wind,1,0,,Single Family,1.0,0.0,2001.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Stucco,"""Wood, unknown""",Unknown,Asphalt shingles (laminated),1,-85.37511829,15.28089082085232
88,29.91528,-85.376084,Wind,1,0,,Single Family,1.0,0.0,1992.0,Hip,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""",Brick,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.376084,15.207174297998431
89,29.91534052,-85.37241697,Wind,1,0,,Single Family,1.0,0.0,1985.0,Gable,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Plywood Siding,Stucco","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.37241697,15.481953628189476
