feature,mean_importance
8_Xgboost_GoldenFeatures_prediction,-0.011778733898732074
4_Default_Xgboost_categorical_mix_GoldenFeatures_SelectedFeatures_prediction,-0.0077433224337506434
wall_cladding,-0.004901953831486905
11_RandomForest_prediction,-0.004235720934188403
24_NeuralNetwork_prediction,-0.002309443921706378
6_Default_RandomForest_SelectedFeatures_prediction,-0.002267777468611265
22_NeuralNetwork_SelectedFeatures_prediction,-0.0015122676243501498
roof_cover,-0.001392683059636246
Buildinglong,-0.0010041277801948745
21_NeuralNetwork_SelectedFeatures_prediction,-0.0009532921443274223
roof_system,-0.0007123802227712694
12_RandomForest_prediction,-0.0005472622058988908
14_DecisionTree_prediction,-0.000535586049582304
Buildinglat,-0.00034873838617643926
3_Linear_prediction,-2.4493722742802147e-05
5_Default_NeuralNetwork_prediction,-1.859583003056553e-05
wall_substrate,0.0
building_type,0.0
number_of_stories,0.0
foundation_type,0.0
17_NeuralNetwork_prediction,0.0001444017923114993
roof_substrate_type,0.0002426821371887433
13_DecisionTree_prediction,0.0002514149811119193
6_Default_RandomForest_prediction,0.00026170378385996783
mindist,0.0005138929287562099
4_Default_Xgboost_prediction,0.0006735830785722597
wall_structure,0.000694430482465025
6_Default_RandomForest_GoldenFeatures_prediction,0.0008537019749844665
23_NeuralNetwork_prediction,0.0009268619141374667
understory_pct_of_building_footprint,0.0012270129864121238
9_RandomForest_SelectedFeatures_prediction,0.00137898778178851
hazards_present,0.0018306908188356007
16_NeuralNetwork_SelectedFeatures_prediction,0.0020047734767268286
20_RandomForest_SelectedFeatures_prediction,0.0031786055070600174
4_Default_Xgboost_categorical_mix_GoldenFeatures_prediction,0.004946921478502353
year_built,0.005087020547053034
roof_shape,0.00531431468316843
18_NeuralNetwork_prediction,0.005498449642451053
15_NeuralNetwork_SelectedFeatures_prediction,0.005736569090136023
2_DecisionTree_prediction,0.006401070318566226
mwfrs,0.009700738282567855
10_RandomForest_SelectedFeatures_prediction,0.009759876715459526
4_Default_Xgboost_categorical_mix_prediction,0.011990160803792716
5_Default_NeuralNetwork_SelectedFeatures_prediction,0.016857217303653214
7_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.020792891944153836
4_Default_Xgboost_GoldenFeatures_prediction,0.02982193414277623
Ensemble_prediction,0.16065836604771114
19_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.17955868611659442
